,Status,ActivityCompleted,nps_score,Comments,Sentiment,Device Type,Browser,Comments_spell_checked,Comments_spell_checked_textblob_polarity_score,Comments_spell_checked_txtblob_polarity,Comments_spell_checked_txtblob_polarity_subjectivity
2484,Complete,2022-09-14,5.0,The site is very user friendly and Ihave not had any problems.,Positive,Desktop,Chrome,The site is very user friendly and Have not had any problems.,"Sentiment(polarity=0.2875, subjectivity=0.4)",0.2875,0.4
2486,Complete,2022-09-14,4.0,Would have been a 5 but I didn't see anything list that you specifically deal with any sales of equipment if you do.,Mixed,Desktop,Chrome,Would have been a 5 but I didn't see anything list that you specifically deal with any sales of equipment if you do.,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
2487,Complete,2022-09-14,5.0,User friendly,Positive,Desktop,Microsoft Edge,User friendly,"Sentiment(polarity=0.375, subjectivity=0.5)",0.375,0.5
2488,Complete,2022-09-14,5.0,Equipment rates are listed.,Neutral,Mobile,Safari mobile,Equipment rates are listed.,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
2489,Complete,2022-09-14,5.0,Quick access and ordering,Positive,Desktop,Chrome,Quick access and ordering,"Sentiment(polarity=0.3333333333333333, subjectivity=0.5)",0.3333333333333333,0.5
2491,Complete,2022-09-14,1.0,NEED PHONE NUMBER,Neutral,Desktop,Chrome,NEED PHONE NUMBER,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
2494,Complete,2022-09-14,1.0,I always get a message stating our wires our crossed,Neutral,Desktop,Safari,I always get a message stating our wires our crossed,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
2496,Complete,2022-09-14,5.0,Easy to navigate,Positive,Desktop,Safari,Easy to navigate,"Sentiment(polarity=0.43333333333333335, subjectivity=0.8333333333333334)",0.43333333333333335,0.8333333333333334
2499,Complete,2022-09-14,5.0,Easy to maneuver. Got me the info I needed and in touch with the store for easy reservations.,Positive,Mobile,Safari mobile,Easy to maneuver. Got me the info I needed and in touch with the store for easy reservations.,"Sentiment(polarity=0.43333333333333335, subjectivity=0.8333333333333334)",0.43333333333333335,0.8333333333333334
2500,Complete,2022-09-14,5.0,good good,Positive,Desktop,Chrome,good good,"Sentiment(polarity=0.7, subjectivity=0.6000000000000001)",0.7,0.6000000000000001
2501,Complete,2022-09-14,3.0,Keep getting errors and when I requested a quote it just said wait and kept loading.,Negative,Tablet,Chrome Mobile,Keep getting errors and when I requested a quote it just said wait and kept loading.,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
2505,Complete,2022-09-14,1.0,"Incredibly slow, this is a recent trend",Negative,Desktop,Chrome,"Incredibly slow, this is a recent trend","Sentiment(polarity=-0.15000000000000002, subjectivity=0.32499999999999996)",-0.15000000000000002,0.32499999999999996
2507,Complete,2022-09-14,2.0,"Location map is glitchy, menu times out and is NOT smooth. 
Searching for divisions doesn't work most of the time.",Negative,Desktop,Chrome,"Location map is glitch, menu times out and is NOT smooth. Searching for divisions doesn't work most of the time.","Sentiment(polarity=0.15, subjectivity=0.5)",0.15,0.5
2509,Complete,2022-09-14,2.0,"The rates listed are very misleading.  The price listed was $110 per week, but extra ""fees"" made the final, check-out total $150 with absolutely NO description of the additional fees.  Bad business practice.",Negative,Desktop,Microsoft Edge,"The rates listed are very misleading. The price listed was $110 per week, but extra ""fees"" made the final, check-out total $150 with absolutely Ns description of the additional fees. Bad business practice.","Sentiment(polarity=-0.04999999999999997, subjectivity=0.6194444444444444)",-0.04999999999999997,0.6194444444444444
2512,Complete,2022-09-14,5.0,Easy to understand and use,Positive,Desktop,Chrome,Easy to understand and use,"Sentiment(polarity=0.43333333333333335, subjectivity=0.8333333333333334)",0.43333333333333335,0.8333333333333334
2517,Complete,2022-09-14,5.0,"found my equipment, and was told what additional tooling was needed.
Would have been more helpful to know if equipment was actually available.",Negative,Desktop,Chrome,"found my equipment, and was told what additional tooling was needed. Would have been more helpful to know if equipment was actually available.","Sentiment(polarity=0.45, subjectivity=0.45)",0.45,0.45
2520,Complete,2022-09-14,5.0,it works,Positive,Desktop,Microsoft Edge,it works,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
2521,Complete,2022-09-14,5.0,easy to navigate,Positive,Desktop,Chrome,easy to navigate,"Sentiment(polarity=0.43333333333333335, subjectivity=0.8333333333333334)",0.43333333333333335,0.8333333333333334
2522,Complete,2022-09-14,5.0,Customer service is excellent,Positive,Mobile,Safari mobile,Customer service is excellent,"Sentiment(polarity=1.0, subjectivity=1.0)",1.0,1.0
2523,Complete,2022-09-14,4.0,"Site is usually easy to use, but I ran into a glitch recently that would not let me place a rental. Went to place rental on the phone app. Received a different error stating my order did not go through, when it had actually been successfully ordered twice.",Negative,Desktop,Chrome,"Site is usually easy to use, but I ran into a glitch recently that would not let me place a rental. Went to place rental on the phone app. Received a different error stating my order did not go through, when it had actually been successfully ordered twice.","Sentiment(polarity=0.23666666666666666, subjectivity=0.5466666666666666)",0.23666666666666666,0.5466666666666666
2524,Complete,2022-09-14,5.0,easy to navigate and equipment easily found,Positive,Desktop,Chrome,easy to navigate and equipment easily found,"Sentiment(polarity=0.43333333333333335, subjectivity=0.8333333333333334)",0.43333333333333335,0.8333333333333334
2525,Complete,2022-09-14,5.0,I always get great service and excellent pricing and availability.,Positive,Desktop,Microsoft Edge,I always get great service and excellent pricing and availability.,"Sentiment(polarity=0.9, subjectivity=0.875)",0.9,0.875
2529,Complete,2022-09-14,1.0,Time out to often which slows down productivity.,Negative,Desktop,Chrome,Time out to often which slows down productivity.,"Sentiment(polarity=-0.15555555555555559, subjectivity=0.2888888888888889)",-0.15555555555555559,0.2888888888888889
2530,Complete,2022-09-14,5.0,Ease of finding information,Positive,Desktop,Chrome,Ease of finding information,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
2532,Complete,2022-09-14,1.0,map sucks,Negative,Desktop,Chrome,map sucks,"Sentiment(polarity=-0.3, subjectivity=0.3)",-0.3,0.3
2533,Complete,2022-09-14,1.0,"horrible, i would give it a zero if i could",Negative,Desktop,Chrome,"horrible, i would give it a zero if i could","Sentiment(polarity=-1.0, subjectivity=1.0)",-1.0,1.0
2534,Complete,2022-09-14,5.0,Easy to use,Positive,Mobile,Safari mobile,Easy to use,"Sentiment(polarity=0.43333333333333335, subjectivity=0.8333333333333334)",0.43333333333333335,0.8333333333333334
2535,Complete,2022-09-14,1.0,trying to make a payment right now on your website from April and it is not letting me.,Negative,Desktop,Chrome,trying to make a payment right now on your website from April and it is not letting me.,"Sentiment(polarity=0.2857142857142857, subjectivity=0.5357142857142857)",0.2857142857142857,0.5357142857142857
2537,Complete,2022-09-14,1.0,very slow!!,Negative,Desktop,Chrome,very slow!!,"Sentiment(polarity=-0.6093750000000001, subjectivity=0.52)",-0.6093750000000001,0.52
2538,Complete,2022-09-14,4.0,easy to navigate has great information,Positive,Desktop,Microsoft Edge,easy to navigate has great information,"Sentiment(polarity=0.6166666666666667, subjectivity=0.7916666666666667)",0.6166666666666667,0.7916666666666667
2539,Complete,2022-09-14,3.0,It is slower. I prefer the website before you updated it.,Negative,Desktop,Microsoft Edge,It is slower. I prefer the website before you updated it.,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
2541,Complete,2022-09-14,5.0,Quick and easy to use and all of the info needed is provided for all equipment,Positive,Desktop,Chrome,Quick and easy to use and all of the info needed is provided for all equipment,"Sentiment(polarity=0.3833333333333333, subjectivity=0.6666666666666667)",0.3833333333333333,0.6666666666666667
2542,Complete,2022-09-14,5.0,easy so far - am I done?,Positive,Desktop,Chrome,easy so far - am I done?,"Sentiment(polarity=0.26666666666666666, subjectivity=0.9166666666666667)",0.26666666666666666,0.9166666666666667
2545,Complete,2022-09-14,1.0,"site is very slow, locations take forever to load",Negative,Desktop,Chrome,"site is very slow, locations take forever to load","Sentiment(polarity=-0.39000000000000007, subjectivity=0.52)",-0.39000000000000007,0.52
2549,Complete,2022-09-14,1.0,Rates don't match stores rates. Does not show enough information regarding availability and status of equipment.,Negative,Desktop,Chrome,Rates don't match stores rates. Does not show enough information regarding availability and status of equipment.,"Sentiment(polarity=0.0, subjectivity=0.5)",0.0,0.5
2550,Complete,2022-09-14,1.0,The location dropdown does not work so unable to obtain pricing,Negative,Mobile,Safari mobile,The location dropdown does not work so unable to obtain pricing,"Sentiment(polarity=-0.5, subjectivity=0.5)",-0.5,0.5
2553,Complete,2022-09-14,5.0,the availability and the representative are real nice,Positive,Desktop,Chrome,the availability and the representative are real nice,"Sentiment(polarity=0.8999999999999999, subjectivity=1.0)",0.8999999999999999,1.0
2555,Complete,2022-09-14,1.0,"Many bugs, slow response time, slow loading time, inability to access what I need among other issues that I experience every day using this website.",Negative,Desktop,Chrome,"Many bugs, slow response time, slow loading time, inability to access what I need among other issues that I experience every day using this website.","Sentiment(polarity=-0.05625000000000002, subjectivity=0.41874999999999996)",-0.05625000000000002,0.41874999999999996
2558,Complete,2022-09-14,2.0,I dont see a location for the prices.  The system wont let me add to cart 4 hours rental,Negative,Desktop,Microsoft Edge,I dont see a location for the prices. The system wont let me add to cart 4 hours rental,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
2559,Complete,2022-09-14,1.0,not user friendly. Told to have blank in vendor number which isn't correct.  Just wanted tax exempt form for all invoices .,Negative,Desktop,Chrome,not user friendly. Told to have blank in vendor number which isn't correct. Just wanted tax exempt form for all invoices .,"Sentiment(polarity=0.1875, subjectivity=0.25)",0.1875,0.25
2561,Complete,2022-09-14,4.0,sOURCE of code not explained,Negative,Desktop,Microsoft Edge,sOURCE of code not explained,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
2565,Complete,2022-09-14,1.0,Stayed on phone to long waiting for young lady to return with information about a tool. So I hung up.,Negative,Mobile,Safari mobile,Stayed on phone to long waiting for young lady to return with information about a tool. So I hung up.,"Sentiment(polarity=0.025, subjectivity=0.4)",0.025,0.4
2566,Complete,2022-09-14,5.0,Site is easy to maneuver,Positive,Desktop,Chrome,Site is easy to maneuver,"Sentiment(polarity=0.43333333333333335, subjectivity=0.8333333333333334)",0.43333333333333335,0.8333333333333334
2567,Complete,2022-09-14,1.0,Horrible experience!!!! I will never rent from sunbelt again!!,Negative,Mobile,Safari mobile,Horrible experience!!!! I will never rent from sunbelt again!!,"Sentiment(polarity=-1.0, subjectivity=1.0)",-1.0,1.0
2568,Complete,2022-09-14,1.0,could not enter non-for-profit reg # = RR001 not your RT001,Negative,Desktop,Chrome,could not enter non-for-profit reg # = R001 not your T001,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
2569,Complete,2022-09-14,1.0,Because the agent ended the chat without when we just started our conversation,Neutral,Desktop,Chrome,Because the agent ended the chat without when we just started our conversation,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
2572,Complete,2022-09-14,4.0,Your location search needs some improvement.,Negative,Desktop,Microsoft Edge,Your location search needs some improvement.,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
2574,Complete,2022-09-14,2.0,Very kludgy to use. No easy way to get back to the previous screen when looking for locations. Takes abnormally long for pages to load.,Negative,Desktop,Firefox,Very kludgy to use. No easy way to get back to the previous screen when looking for locations. Takes abnormally long for pages to load.,"Sentiment(polarity=-0.04666666666666667, subjectivity=0.34)",-0.04666666666666667,0.34
2576,Complete,2022-09-14,1.0,can't give a ZERO,Negative,Desktop,Chrome,can't give a ZERO,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
2582,Complete,2022-09-14,1.0,I need log in help but can't find where to get it from a real person.,Negative,Desktop,Chrome,I need log in help but can't find where to get it from a real person.,"Sentiment(polarity=0.2, subjectivity=0.30000000000000004)",0.2,0.30000000000000004
2584,Complete,2022-09-14,2.0,I do not see an option for checking availability.,Negative,Desktop,Chrome,I do not see an option for checking availability.,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
2587,Complete,2022-09-14,5.0,i found the equipment and pricing i was looking for.,Positive,Desktop,Chrome,i found the equipment and pricing i was looking for.,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
2589,Complete,2022-09-14,3.0,omg it is so slow and keeps telling me un-responsive,Negative,Desktop,Chrome,omg it is so slow and keeps telling me un-responsive,"Sentiment(polarity=-0.30000000000000004, subjectivity=0.39999999999999997)",-0.30000000000000004,0.39999999999999997
2591,Complete,2022-09-14,1.0,"Whatever was done to this site in the past couple of months is absolutely horrible. The amount of time to down load an invoice, or take a payment is ridiculous and embarrassing.",Negative,Desktop,Chrome,"Whatever was done to this site in the past couple of months is absolutely horrible. The amount of time to down load an invoice, or take a payment is ridiculous and embarrassing.","Sentiment(polarity=-0.43472222222222223, subjectivity=0.6347222222222222)",-0.43472222222222223,0.6347222222222222
2592,Complete,2022-09-14,5.0,Thank You Jason from Huntsville Ontario!!!,Positive,Mobile,Safari mobile,Thank You Jason from Huntsville Ontario!!!,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
2595,Complete,2022-09-14,1.0,Runs slow,Negative,Desktop,Chrome,Runs slow,"Sentiment(polarity=-0.30000000000000004, subjectivity=0.39999999999999997)",-0.30000000000000004,0.39999999999999997
2598,Complete,2022-09-14,1.0,Joke,Neutral,Mobile,Safari mobile,Joke,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
2599,Complete,2022-09-14,1.0,I did not get the answer to my questions,Negative,Mobile,Safari mobile,I did not get the answer to my questions,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
2600,Complete,2022-09-14,3.0,On phone all options not visible,Negative,Mobile,Google App,On phone all options not visible,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
2602,Complete,2022-09-14,4.0,i cant apply credits to the invoices that they apply to.,Neutral,Desktop,Chrome,i cant apply credits to the invoices that they apply to.,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
2607,Complete,2022-09-14,1.0,No images,Negative,Mobile,Safari mobile,No images,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
2609,Complete,2022-09-14,5.0,"its an easy website to work with, plus i can get all the extra information i need by call our local sunbelt store",Positive,Mobile,Chrome,"its an easy website to work with, plus i can get all the extra information i need by call our local sunbelt store","Sentiment(polarity=0.14444444444444446, subjectivity=0.3111111111111111)",0.14444444444444446,0.3111111111111111
2610,Complete,2022-09-14,1.0,"I'm interested in an item that has a Add to cart after I've provide my location but after making calls the nearest one is in another state hundreds of miles away - pitiful system you have,",Negative,Desktop,Microsoft Edge,"I'm interested in an item that has a Add to cart after I've provide my location but after making calls the nearest one is in another state hundreds of miles away - pitiful system you have,","Sentiment(polarity=0.25, subjectivity=0.5)",0.25,0.5
2611,Complete,2022-09-14,4.0,Not enough local information included.  Mainly the phone number of the stores vs. having to go through an 800 number.,Negative,Desktop,Chrome,Not enough local information included. Mainly the phone number of the stores vs. having to go through an 800 number.,"Sentiment(polarity=0.05555555555555555, subjectivity=0.27777777777777773)",0.05555555555555555,0.27777777777777773
2613,Complete,2022-09-14,5.0,Don't know,Neutral,Mobile,Mobile Samsung Browser,Don't know,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
2614,Complete,2022-09-14,1.0,i can not log into my account,Negative,Desktop,Chrome,i can not log into my account,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
2615,Complete,2022-09-14,5.0,easy to use,Positive,Desktop,Microsoft Edge,easy to use,"Sentiment(polarity=0.43333333333333335, subjectivity=0.8333333333333334)",0.43333333333333335,0.8333333333333334
2616,Complete,2022-09-14,5.0,Easy to understand,Positive,Mobile,Safari mobile,Easy to understand,"Sentiment(polarity=0.43333333333333335, subjectivity=0.8333333333333334)",0.43333333333333335,0.8333333333333334
2617,Complete,2022-09-14,1.0,it's very cumbersome and availability is unreliable,Negative,Desktop,Chrome,it's very cumbersome and availability is unreliable,"Sentiment(polarity=0.2, subjectivity=0.3)",0.2,0.3
2618,Complete,2022-09-14,5.0,Cause I wanted to it was very Specific,Neutral,Mobile,Safari mobile,Cause I wanted to it was very Specific,"Sentiment(polarity=0.0, subjectivity=0.1625)",0.0,0.1625
2619,Complete,2022-09-14,5.0,Excellent service,Positive,Desktop,Chrome,Excellent service,"Sentiment(polarity=1.0, subjectivity=1.0)",1.0,1.0
2626,Complete,2022-09-14,5.0,work with them before,Neutral,Desktop,Microsoft Edge,work with them before,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
2628,Complete,2022-09-14,3.0,command center spins,Neutral,Desktop,Chrome,command center spins,"Sentiment(polarity=-0.1, subjectivity=0.1)",-0.1,0.1
2629,Complete,2022-09-14,2.0,Not a friendly interface. Hard to find my equipment that is on rent,Negative,Desktop,Chrome,Not a friendly interface. Hard to find my equipment that is on rent,"Sentiment(polarity=-0.23958333333333334, subjectivity=0.5208333333333333)",-0.23958333333333334,0.5208333333333333
2630,Complete,2022-09-14,1.0,Millage from job location to store in incorrect on map.,Negative,Desktop,Chrome,Village from job location to store in incorrect on map.,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
2631,Complete,2022-09-14,1.0,Vendor Payment Portal inadequate,Negative,Desktop,Chrome,Vendor Payment Portal inadequate,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
2632,Complete,2022-09-14,5.0,Easy site to navigate.,Positive,Mobile,Chrome Mobile,Easy site to navigate.,"Sentiment(polarity=0.43333333333333335, subjectivity=0.8333333333333334)",0.43333333333333335,0.8333333333333334
2633,Complete,2022-09-14,1.0,IT ALLOWS ME TO RESERVE EQUIPMENT AT THE LOCAL BRANCH AND PAY FOR IT WHEN THEY HAVE NO STOCK OF THE ITEMS.,Positive,Desktop,Chrome,In ALLOWS M To RESERVE EQUIPMENT A THE LOCAL BRANCH AND AY OR In WHEN THEY AVE Ns SOCK Of THE ITEM.,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
2634,Complete,2022-09-14,5.0,Great service,Positive,Mobile,Mobile Samsung Browser,Great service,"Sentiment(polarity=0.8, subjectivity=0.75)",0.8,0.75
2636,Complete,2022-09-14,5.0,I spoke with a Representative Susan) at the 800 number listed on the top banner of the website. She picked up on the first ring and was extremely helpful.,Positive,Desktop,Microsoft Edge,I spoke with a Representative Susan) at the 800 number listed on the top banner of the website. She picked up on the first ring and was extremely helpful.,"Sentiment(polarity=0.20833333333333334, subjectivity=0.611111111111111)",0.20833333333333334,0.611111111111111
2637,Complete,2022-09-14,4.0,No one is perfect,Negative,Mobile,Safari mobile,No one is perfect,"Sentiment(polarity=1.0, subjectivity=1.0)",1.0,1.0
2639,Complete,2022-09-14,5.0,Easy,Positive,Desktop,Chrome,Easy,"Sentiment(polarity=0.43333333333333335, subjectivity=0.8333333333333334)",0.43333333333333335,0.8333333333333334
2640,Complete,2022-09-14,2.0,It can be slow sometimes.,Negative,Desktop,Chrome,It can be slow sometimes.,"Sentiment(polarity=-0.30000000000000004, subjectivity=0.39999999999999997)",-0.30000000000000004,0.39999999999999997
2641,Complete,2022-09-14,4.0,Haven't found what I'm looking yet.,Neutral,Mobile,Chrome Mobile,Haven't found what I'm looking yet.,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
2642,Complete,2022-09-14,5.0,its easy to use.,Positive,Desktop,Firefox,its easy to use.,"Sentiment(polarity=0.43333333333333335, subjectivity=0.8333333333333334)",0.43333333333333335,0.8333333333333334
2644,Complete,2022-09-14,3.0,SOME GOOD SOME BAD,Negative,Desktop,Chrome,SME GOOD SME AD,"Sentiment(polarity=0.7, subjectivity=0.6000000000000001)",0.7,0.6000000000000001
2645,Complete,2022-09-14,1.0,make more like google,Neutral,Desktop,Chrome,make more like google,"Sentiment(polarity=0.5, subjectivity=0.5)",0.5,0.5
2646,Complete,2022-09-14,1.0,Slow,Negative,Mobile,Safari mobile,Slow,"Sentiment(polarity=-0.30000000000000004, subjectivity=0.39999999999999997)",-0.30000000000000004,0.39999999999999997
2647,Complete,2022-09-14,2.0,no way to adjust existing reservations on line.,Negative,Desktop,Safari,no way to adjust existing reservations on line.,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
2648,Complete,2022-09-14,5.0,Everything was seamless.,Positive,Desktop,Safari,Everything was seamless.,"Sentiment(polarity=0.1, subjectivity=0.1)",0.1,0.1
2649,Complete,2022-09-14,1.0,"No pictures of mini
excavators",Negative,Desktop,Safari,No pictures of mini excavators,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
2650,Complete,2022-09-14,5.0,Perfect,Positive,Mobile,Google App,Perfect,"Sentiment(polarity=1.0, subjectivity=1.0)",1.0,1.0
2652,Complete,2022-09-14,5.0,"I needed information, went on your site and was able to find it quickly",Positive,Desktop,Chrome,"I needed information, went on your site and was able to find it quickly","Sentiment(polarity=0.41666666666666663, subjectivity=0.5625)",0.41666666666666663,0.5625
2653,Complete,2022-09-14,5.0,Fairly easy to find needed equipment.  Prices seem a little high on some items.,Mixed,Desktop,Firefox,Fairly easy to find needed equipment. Prices seem a little high on some items.,"Sentiment(polarity=0.1352777777777778, subjectivity=0.6244444444444445)",0.1352777777777778,0.6244444444444445
2657,Complete,2022-09-14,5.0,100%,Neutral,Mobile,Chrome Mobile,100%,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
2658,Complete,2022-09-14,5.0,Easy to use and pay!,Positive,Desktop,Chrome,Easy to use and pay!,"Sentiment(polarity=0.5416666666666667, subjectivity=0.8333333333333334)",0.5416666666666667,0.8333333333333334
2659,Complete,2022-09-14,5.0,Ease of use,Positive,Mobile,Safari mobile,Ease of use,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
2660,Complete,2022-09-14,3.0,"looking at a trencher and it does not list the trench width, only depth.",Negative,Desktop,Chrome,"looking at a trenches and it does not list the trench width, only depth.","Sentiment(polarity=0.0, subjectivity=1.0)",0.0,1.0
2661,Complete,2022-09-14,1.0,Buggy,Negative,Desktop,Firefox,Buggy,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
2662,Complete,2022-09-14,1.0,horribly slow in the past two months.,Negative,Desktop,Chrome,horribly slow in the past two months.,"Sentiment(polarity=-0.275, subjectivity=0.32499999999999996)",-0.275,0.32499999999999996
2663,Complete,2022-09-14,5.0,easy,Positive,Desktop,Chrome,easy,"Sentiment(polarity=0.43333333333333335, subjectivity=0.8333333333333334)",0.43333333333333335,0.8333333333333334
2664,Complete,2022-09-14,5.0,Good service,Positive,Mobile,Chrome Mobile,Good service,"Sentiment(polarity=0.7, subjectivity=0.6000000000000001)",0.7,0.6000000000000001
2666,Complete,2022-09-14,5.0,You provided information and exact pricing for I was looking for and pictures of the Equipment as well,Positive,Desktop,Chrome,You provided information and exact pricing for I was looking for and pictures of the Equipment as well,"Sentiment(polarity=0.25, subjectivity=0.25)",0.25,0.25
2668,Complete,2022-09-14,5.0,Always been very responsive and accurate. Thanks.,Positive,Mobile,Chrome Mobile,Always been very responsive and accurate. Thanks.,"Sentiment(polarity=0.26666666666666666, subjectivity=0.37777777777777777)",0.26666666666666666,0.37777777777777777
2669,Complete,2022-09-14,4.0,"I was looking for the addresses closes to me 20706 it give me the Fairmount Heights, Md. and Glenarden ,Md locations but not the address so I can stop in the office.",Neutral,Desktop,Chrome,"I was looking for the addresses closes to me 20706 it give me the Fairmount Heights, Md. and Glenarden ,Md locations but not the address so I can stop in the office.","Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
2672,Complete,2022-09-14,2.0,Hard to find locations.,Negative,Desktop,Chrome,Hard to find locations.,"Sentiment(polarity=-0.2916666666666667, subjectivity=0.5416666666666666)",-0.2916666666666667,0.5416666666666666
2673,Complete,2022-09-14,3.0,Because,Neutral,Mobile,Chrome Mobile,Because,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
2674,Complete,2022-09-14,5.0,Because you deserve it!  Great to work with and website is easy to maneuver in.,Positive,Desktop,Microsoft Edge,Because you deserve it! Great to work with and website is easy to maneuver in.,"Sentiment(polarity=0.6166666666666667, subjectivity=0.7916666666666667)",0.6166666666666667,0.7916666666666667
2675,Complete,2022-09-14,3.0,Website terrible,Negative,Mobile,Safari mobile,Website terrible,"Sentiment(polarity=-1.0, subjectivity=1.0)",-1.0,1.0
2678,Complete,2022-09-14,5.0,Easy to use,Positive,Desktop,Chrome,Easy to use,"Sentiment(polarity=0.43333333333333335, subjectivity=0.8333333333333334)",0.43333333333333335,0.8333333333333334
2679,Complete,2022-09-14,4.0,It was a good website,Positive,Mobile,Chrome Mobile,It was a good website,"Sentiment(polarity=0.7, subjectivity=0.6000000000000001)",0.7,0.6000000000000001
2680,Complete,2022-09-14,3.0,"cart not clear on pick up and return of equipment... just days.  can we return on days you location is not open? i was told that they would not be open on saturday, the day I need but is available to rent?  i don't get it.",Negative,Desktop,Chrome,"cart not clear on pick up and return of equipment... just days. can we return on days you location is not open? i was told that they would not be open on saturday, the day I need but is available to rent? i don't get it.","Sentiment(polarity=0.08750000000000001, subjectivity=0.4458333333333333)",0.08750000000000001,0.4458333333333333
2682,Complete,2022-09-14,1.0,website is slow to load. Can't set my location for pricing even though you have multiple outlets in Edmonton Alberta.,Negative,Desktop,Firefox,website is slow to load. Can't set my location for pricing even though you have multiple outlets in Edmonton Alberta.,"Sentiment(polarity=-0.15000000000000002, subjectivity=0.19999999999999998)",-0.15000000000000002,0.19999999999999998
2684,Complete,2022-09-14,3.0,I don't want to fill out a credit app for a 1 time rental,Negative,Desktop,Safari,I don't want to fill out a credit app for a 1 time rental,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
2687,Complete,2022-09-14,5.0,Easy to use,Positive,Mobile,Safari mobile,Easy to use,"Sentiment(polarity=0.43333333333333335, subjectivity=0.8333333333333334)",0.43333333333333335,0.8333333333333334
2689,Complete,2022-09-14,5.0,Easy website,Positive,Mobile,Chrome Mobile,Easy website,"Sentiment(polarity=0.43333333333333335, subjectivity=0.8333333333333334)",0.43333333333333335,0.8333333333333334
2693,Complete,2022-09-15,1.0,I want a list of GT stores by state,Neutral,Desktop,Chrome,I want a list of Gt stores by state,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
2694,Complete,2022-09-15,5.0,I like sunbelt rentals!,Positive,Mobile,Safari mobile,I like sunbelt rentals!,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
2695,Complete,2022-09-15,1.0,I want bring the tool back the same day and your calendar will not allow that. I'm picking up in the morning and bringing back that night. 1 day not 2,Negative,Desktop,Chrome,I want bring the tool back the same day and your calendar will not allow that. I'm picking up in the morning and bringing back that night. 1 day not 2,"Sentiment(polarity=0.0, subjectivity=0.041666666666666664)",0.0,0.041666666666666664
2697,Complete,2022-09-15,4.0,just did,Neutral,Desktop,Safari,just did,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
2700,Complete,2022-09-15,1.0,lockes up all the time,Negative,Desktop,Microsoft Edge,locked up all the time,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
2706,Complete,2022-09-15,1.0,Taking me in circles. If I pick a pick up date and time and not available then suggest when item can be picked up,Negative,Mobile,Safari mobile,Taking me in circles. If I pick a pick up date and time and not available then suggest when item can be picked up,"Sentiment(polarity=-0.2, subjectivity=0.4)",-0.2,0.4
2710,Complete,2022-09-15,3.0,For the average homeowner that knows little about using heavier equipment around the house. A more detailed description of what to expect from the equipment would help.,Neutral,Mobile,Chrome Mobile,For the average homeowner that knows little about using heavier equipment around the house. A more detailed description of what to expect from the equipment would help.,"Sentiment(polarity=0.140625, subjectivity=0.5375)",0.140625,0.5375
2711,Complete,2022-09-15,5.0,Upfront pricing,Neutral,Mobile,Safari mobile,Upfront pricing,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
